Longitude,Latitude,is_population,population_in_25_km_radius,population_in_50_km_radius,population_in_75_km_radius,is_saltmarsh,saltmarsh_in_25_km_radius,saltmarsh_in_50_km_radius,saltmarsh_in_75_km_radius,is_mangrove,mangrove_in_25_km_radius,mangrove_in_50_km_radius,mangrove_in_75_km_radius,is_tidalflat,tidalflat_in_25_km_radius,tidalflat_in_50_km_radius,tidalflat_in_75_km_radius
-63.109,18.052,true,90511.3515625,104357.46875,109321.78125,false,0.0,0.0,0.0,false,0.008164538070559502,0.008164538070559502,0.008164538070559502,false,0.0,0.0,0.0
-162.0,-17.0,true,0.0,0.0,0.0,false,0.0,0.0,0.0,false,0.0,0.0,0.0,false,0.0,0.0,0.0
-87.913,19.596,true,37223.88671875,56675.22265625,93442.0,false,0.0,0.0,0.0,false,152.6339111328125,729.7003173828125,1285.42333984375,false,0.0,0.0,0.0
-88.288,17.337,true,101941.484375,142964.8125,211327.265625,false,0.0,0.0,0.0,false,91.5022201538086,228.2293243408203,324.46319580078125,false,0.0,0.0,0.0
-85.437,16.014,true,9977.353515625,77085.8125,235491.46875,false,0.0,0.0,0.0,false,1.511451005935669,22.131559371948242,41.06756591796875,false,0.0,0.0,0.0
-105.222222,20.645833,true,441097.0,511756.46875,612898.8125,false,0.0,0.0,0.0,false,2.3054373264312744,2.7625012397766113,7.135571002960205,false,0.0,0.0,0.0
101.8519,2.4069,true,141686.40625,1.44132225e6,4.411812e6,false,0.0,0.0,0.0,false,12.635774612426758,65.06076049804688,133.77374267578125,false,0.0,0.0,0.0
147.7,-18.283333,true,0.0,0.0,0.0,false,0.0,0.0,0.0,false,0.0,0.0,0.0,false,0.0,0.0,0.0
119.1144,-4.8756,true,1589.401611328125,1.241108625e6,3.1133185e6,false,0.0,0.0,0.0,false,0.0,1.830169439315796,14.890151977539062,false,0.0,0.0,0.0
120.7798,21.9483,true,36795.9296875,56287.8125,364674.625,false,0.0,0.0,6.726598739624023,false,0.0,0.0,0.0,false,0.0,0.0,0.0
-81.2079,29.5845,true,148292.421875,490351.59375,1.021470625e6,false,29.140291213989258,69.32735443115234,99.010009765625,false,0.0,0.0,10.673934936523438,false,0.0,0.0,0.0
-157.9868,21.473,true,774155.875,1.0344415e6,1.0344415625e6,false,0.503557562828064,0.767331063747406,0.7673311233520508,false,1.8307706117630005,1.8467708826065063,1.8467707633972168,false,0.0,0.0,0.0
