clsid,length,longitude,latitude,wetland_type,erosion_type,id_citycluster,id_river,id_floodplain,id_nonopencoast,id_nextcoast,id_gadm1,id_island
"10039",0.868453502655029,-5.19166666666667,57.9483333333333,"-9999","0","-9999","-9999","-9999","70","70","1082","70"
"1004",0.639290153980255,-3.07916666666667,58.8275,"-9999","-9999","-9999","-9999","-9999","-1","64","1082","64"
"10040",0.465913772583008,-5.19166666666667,57.9554166666667,"-9999","0","-9999","-9999","-9999","172","-1","1082","70"
"10041",0.262242257595062,-5.19375,57.9575,"-9999","0","-9999","-9999","-9999","70","-1","1082","70"
"10042",0.884913980960846,-5.20875,57.9575,"-9999","-9999","-9999","-9999","-9999","70","-1","1082","70"
"10043",1.00396418571472,-5.21833333333333,57.9583333333333,"-9999","-9999","-9999","-9999","-9999","172","-1","1082","70"
"10044",0.294861644506454,-5.22708333333333,57.9608333333333,"-9999","-9999","-9999","-9999","-9999","70","-1","1082","70"
"10045",0.585414111614227,-5.235,57.9608333333333,"-9999","-9999","-9999","-9999","-9999","172","-1","1082","70"
"10046",2.25972509384155,-5.24416666666666,57.9691666666667,"-9999","-9999","-9999","-9999","-9999","70","-1","1082","70"
"10047",3.25145435333252,-5.28833333333333,57.9775,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10048",0.612154424190521,-5.31166666666667,57.9833333333333,"-9999","-9999","-9999","-9999","-9999","162","70","1082","70"
"10049",0.463312208652496,-5.30833333333333,57.98875,"-9999","-9999","-9999","-9999","-9999","162","-1","1082","70"
"1005",0.51020747423172,-3.0825,58.82125,"-9999","-9999","-9999","-9999","-9999","59","64","1082","64"
"10050",0.32018506526947,-5.31208333333333,57.9908333333333,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10051",0.314622044563293,-5.31458333333333,57.9933333333333,"-9999","-9999","-9999","-9999","-9999","70","-1","1082","70"
"10052",0.308898955583572,-5.31958333333333,57.9941666666667,"-9999","0","-9999","-9999","-9999","70","70","1082","70"
"10053",0.537846684455872,-5.3225,57.99875,"-9999","-9999","-9999","-9999","-9999","162","-1","1082","70"
"10054",0.527270972728729,-5.325,58.0008333333333,"-9999","0","-9999","-9999","258","70","-1","1082","70"
"10055",0.332575470209122,-5.32916666666667,58.0054166666667,"-9999","0","-9999","-9999","258","162","-1","1082","70"
"10056",0.76498556137085,-5.33333333333333,58.0075,"-9999","0","-9999","-9999","258","70","70","1082","70"
"10057",0.245472326874733,-5.34458333333333,58.0066666666667,"-9999","0","-9999","-9999","-9999","162","70","1082","70"
"10058",0.355938404798508,-5.35041666666667,58.0058333333333,"-9999","-9999","-9999","-9999","-9999","162","70","1082","70"
"10059",0.26238214969635,-5.35458333333333,58.0066666666667,"-9999","-9999","-9999","-9999","-9999","171","70","1082","70"
"1006",0.994610488414764,-3.08,58.8141666666667,"-9999","-9999","-9999","-9999","-9999","32","64","1082","64"
"10060",0.948010563850403,-5.34916666666667,58.0116666666667,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10061",0.447395116090775,-5.34916666666667,58.0166666666667,"-9999","0","-9999","-9999","-9999","70","70","1082","70"
"10062",0.417702406644821,-5.35041666666667,58.0208333333333,"-9999","-9999","-9999","-9999","-9999","155","-1","1082","70"
"10063",0.313503265380859,-5.35333333333333,58.0216666666667,"-9999","0","-9999","-9999","-9999","70","70","1082","70"
"10064",0.450965285301208,-5.3575,58.02625,"-9999","0","-9999","-9999","-9999","155","-1","1082","70"
"10065",1.06469368934631,-5.365,58.03,"-9999","0","-9999","-9999","-9999","70","70","1082","70"
"10066",0.548130214214325,-5.37666666666667,58.03,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10067",2.45046639442444,-5.40083333333333,58.0333333333333,"-9999","-9999","-9999","-9999","-9999","155","70","1082","70"
"10068",0.277987331151962,-5.41875,58.0358333333333,"-9999","0","-9999","-9999","-9999","-1","-1","1082","70"
"10069",0.262189656496048,-5.42291666666667,58.0366666666667,"-9999","-9999","-9999","-9999","-9999","-1","70","1082","70"
"1007",0.471493482589722,-3.0875,58.815,"-9999","-9999","-9999","-9999","-9999","68","64","1082","64"
"10070",0.510233163833618,-5.42333333333333,58.04125,"-9999","0","-9999","-9999","250","148","-1","1082","70"
"10071",0.383409440517426,-5.42166666666667,58.0445833333333,"-9999","-9999","-9999","-9999","250","148","70","1082","70"
"10072",1.48895800113678,-5.41916666666667,58.045,"-9999","-9999","-9999","-9999","250","70","70","1082","70"
"10073",0.314508080482483,-5.41291666666667,58.0525,"-9999","1","-9999","-9999","-9999","70","70","1082","70"
"10074",0.763512074947357,-5.41833333333333,58.0558333333333,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10075",1.45267283916473,-5.435,58.0591666666667,"-9999","-9999","-9999","-9999","-9999","148","70","1082","70"
"10076",0.366899430751801,-5.445,58.0645833333333,"-9999","-9999","-9999","-9999","-9999","149","70","1082","70"
"10077",0.346693992614746,-5.44708333333333,58.0675,"-9999","-9999","-9999","-9999","-9999","-1","70","1082","70"
"10078",0.548811674118042,-5.44916666666666,58.0691666666667,"-9999","-9999","-9999","-9999","245","70","70","1082","70"
"10079",1.17800915241241,-5.45666666666667,58.075,"-9999","-9999","-9999","-9999","245","-1","70","1082","70"
"1008",0.902114748954773,-3.0975,58.8191666666667,"-9999","-9999","-9999","-9999","-9999","66","64","1082","64"
"10080",0.342972904443741,-5.44791666666667,58.0783333333333,"-9999","-9999","-9999","-9999","245","70","70","1082","70"
"10081",0.325242400169373,-5.4475,58.08125,"-9999","0","-9999","-9999","-9999","70","70","1082","70"
