name,country,lon,lat
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,50.3723080909014,-4.13863247863157
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,5.59E+01,-3.10580462185063
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,53.7455110414764,-0.348427500067376
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,5.15E+01,-0.0856050362914159
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.4855679569462,-0.0612533147947861
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5167314480682,-0.154653454359053
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5105775156939,-0.124467378234357
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5257887984139,-0.139073149476874
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5172555943586,-0.137643649245752
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5216782291668,-0.157138072240889
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.4829272216675,-0.126083231350611
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5205450864028,-0.0838997508431633
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,5.15E+01,-0.0833135463888979
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,5.15E+01,-0.139031795818898
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,5.15E+01,-0.0814641414594237
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,5.31E+01,-1.19808012540654
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5182417034144,-0.0829522445159744
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,55.8704367291816,-4.13774438413676
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,53.3505000627772,-2.8783141276922
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.3782856510327,-2.35924116765896
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5206886927342,-0.0791243728675342
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.518730723168,-0.0800099751495408
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.521166316595,-0.0797788824248292
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5203285563291,-0.0806314786909275
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.4941606281432,0.0632638414134274
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.525138733489,-0.140833213298209
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5259257431841,-0.139552263677551
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,50.8848994512003,-1.24632912106844
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5187276470912,-0.0800588814591451
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,53.7741746057846,-2.67655424564418
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,5.25E+01,-0.263185833506117
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,5.21E+01,-2.71763604062512
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.4090908203546,-0.303853007190311
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,5.32E+01,-2.97227043534971
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,5.11E+01,0.266365151309261
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5209412535496,-0.0809950759705365
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.519052661232,-0.181414026507682
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,5.20E+01,-0.687465590372343
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.524567058729,-0.141690026462674
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.4483303246637,0.215173126093463
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,5.38E+01,-1.75482177089472
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5577473463447,-0.263734757791251
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,57.4820031197824,-4.17727217740273
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,53.5581199484851,-2.13769558980468
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,53.5430334878002,-1.10081368800476
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,53.4589448057142,-2.11773493838226
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,53.3195171968942,-3.81758130544609
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.6479450716273,-0.0542770215060398
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5976577642315,-1.80917674986309
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,52.0747202524987,-0.245391342703228
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.4240730682423,-0.981541839956755
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,5.30E+01,-1.28246581305322
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5188840220162,-0.180498088713664
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5199468779154,-0.0821162000394152
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5723531694963,-3.00992254852335
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.4874364761718,0.284069648072685
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,52.587713997485,-1.98872621775858
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,52.794943569868,-2.10241809594632
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5202944502276,-0.0806566981625571
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5906589579847,0.479115560864567
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5190402125494,-0.181260799042968
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.8838091072218,0.83337111089847
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.515811142745,-0.0816890753027101
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5197449921715,-0.18058372493113
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5194123775905,-0.0851276901849489
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,52.1996696932012,0.119975632833802
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.3927873391006,0.11302412316276
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5168710989159,-0.154803026148745
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5142636200099,-0.160290871938425
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5243264800628,-0.141986494141564
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5244972861582,-0.142677079515162
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.3075392274886,-0.748635389714039
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5246209164907,-0.141654941775302
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.519009500504,-0.182546289696692
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5199647656509,-0.0849074706198843
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,50.370899522285,-4.13685560305615
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,53.4826568182045,-2.3284610341031
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.4874100177273,0.284319343510705
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.2383665787058,-0.614294169682738
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.519790262178,-0.180678599593436
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5015967113409,-0.100342243301031
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.3235997031596,-0.542693215761628
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.519663600834,-0.0841288405611892
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5146389676107,-0.161920766512851
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5266514146167,-0.0098473871959451
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.7517894427316,-1.28702300990673
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,55.1196086516562,-6.67506952972411
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5282632728969,-0.0846903863864366
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.2428057227198,-0.615343487270926
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,52.2115032316758,0.148984899718462
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5093432198996,-0.0674450500547266
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.6476874729911,-0.0565393204080933
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5262955533942,-0.140334962379721
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5190460205804,-0.0835663004766171
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5170405718571,-0.0801379808439662
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.5365325885429,-0.078742232623872
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),GB,51.4376225877326,-0.375572658058168
THERMO FISHER SCIENTIFIC INC.,GB,55.88102,-4.44494
THERMO FISHER SCIENTIFIC INC.,GB,53.4282527,-2.522499
THERMO FISHER SCIENTIFIC INC.,GB,53.407153,-2.5300268
THERMO FISHER SCIENTIFIC INC.,GB,56.415925,-3.4707273
THERMO FISHER SCIENTIFIC INC.,GB,54.033719,-2.912385
THERMO FISHER SCIENTIFIC INC.,GB,51.6979807,-3.1460338
THERMO FISHER SCIENTIFIC INC.,GB,56.415925,-3.4707273
THERMO FISHER SCIENTIFIC INC.,GB,56.415925,-3.4707273
THERMO FISHER SCIENTIFIC INC.,GB,56.415925,-3.4707273
THERMO FISHER SCIENTIFIC INC.,GB,52.785341,-1.2248587
THERMO FISHER SCIENTIFIC INC.,GB,51.4582566,0.2552367
THERMO FISHER SCIENTIFIC INC.,GB,51.453658,0.2605266
THERMO FISHER SCIENTIFIC INC.,GB,5.51E+01,-1.6071678
THERMO FISHER SCIENTIFIC INC.,GB,52.785341,-1.2248587
THERMO FISHER SCIENTIFIC INC.,GB,54.033719,-2.912385
THERMO FISHER SCIENTIFIC INC.,GB,51.2801052,-1.0658721
THERMO FISHER SCIENTIFIC INC.,GB,53.1927827,-2.4893205
THERMO FISHER SCIENTIFIC INC.,GB,5.13E+01,-1.0658721
THERMO FISHER SCIENTIFIC INC.,GB,51.1355838,-0.0389808
THERMO FISHER SCIENTIFIC INC.,GB,51.2801052,-1.0658721
THERMO FISHER SCIENTIFIC INC.,GB,51.2801052,-1.0658721
THERMO FISHER SCIENTIFIC INC.,GB,51.2712253,-1.1092271
THERMO FISHER SCIENTIFIC INC.,GB,51.2712253,-1.1092271
THERMO FISHER SCIENTIFIC INC.,GB,53.407153,-2.5300268
THERMO FISHER SCIENTIFIC INC.,GB,53.3982202,-2.3686908
TRANSDIGM INC.,GB,50.7349776437709,-2.76110860157521
TRANSDIGM INC.,GB,51.5783966883095,-3.56842860728113
TRANSDIGM INC.,GB,51.5746937024873,-0.758124806135947
TRANSDIGM INC.,GB,51.8581412712503,-2.215295369183
TRANSDIGM INC.,GB,52.2135032576337,0.462044098482268
TRANSDIGM INC.,GB,54.6058929332894,-1.42196406787914
TRANSDIGM INC.,GB,50.712769352875,-1.14507816718221
SCHNEIDER ELECTRIC SE,GB,52.7582820253353,-1.47572973866443
SCHNEIDER ELECTRIC SE,GB,52.3887467543916,-1.55724484569872
SCHNEIDER ELECTRIC SE,GB,54.237970767094,-0.404959677303613
SCHNEIDER ELECTRIC SE,GB,53.7838203240749,-1.53669211851369
SCHNEIDER ELECTRIC SE,GB,50.4305564515727,-4.12174620534826
SCHNEIDER ELECTRIC SE,GB,52.6772818976995,-2.42055103162589
SCHNEIDER ELECTRIC SE,GB,51.6003208579609,-1.73561321924055
SCHNEIDER ELECTRIC SE,GB,52.8854667358906,-2.14804979073921
SCHNEIDER ELECTRIC SE,GB,50.8295119074876,-0.424865090249903
BECTON DICKINSON AND COMPANY,GB,50.4391950129954,-4.11749633727178
BECTON DICKINSON AND COMPANY,GB,51.5593315370902,-1.72103587814891
ASTRAZENECA PLC,GB,52.1747891423626,0.134924834980236
Siemens Healthineers AG,GB,53.1216143544612,-4.13845608020146
Siemens Healthineers AG,GB,51.7781315,-1.3622158
Siemens Healthineers AG,GB,52.0435428,0.7526953
SIEMENS LIMITED,GB,53.1216143544612,-4.13845608020146
SIEMENS LIMITED,GB,51.7781315,-1.3622158
SIEMENS LIMITED,GB,52.0435428,0.7526953
BorgWarner Inc.,GB,53.754032,-1.7391108
BorgWarner Inc.,GB,51.9885727,-1.0112372
BorgWarner Inc.,GB,51.362898,0.5795012
BorgWarner Inc.,GB,52.2753638,-1.5707528
BorgWarner Inc.,GB,51.7518792119601,-2.3004938300055
SHELL PLC,GB,51.70453,-4.99774
THERMO FISHER SCIENTIFIC INC.,GB,51.4582566,0.2552367
THERMO FISHER SCIENTIFIC INC.,GB,51.453658,0.2605266
